time,latitude,longitude,temperature_K
2008-01-01,40.65,-90.75,269.591064453125
2008-01-01,40.65,-90.5,269.62451171875
2008-01-01,40.65,-90.25,269.773681640625
2008-01-01,40.65,-90.0,269.932861328125
2008-01-01,40.65,-89.75,270.02099609375
2008-01-01,40.65,-89.5,270.006591796875
2008-01-01,40.65,-89.25,270.031494140625
2008-01-01,40.65,-89.0,270.094482421875
2008-01-01,40.65,-88.75,270.115966796875
2008-01-01,40.65,-88.5,270.21484375
2008-01-01,40.65,-88.25,270.345703125
2008-01-01,40.65,-88.0,270.470947265625
2008-01-01,40.65,-87.75,270.516357421875
2008-01-01,40.65,-87.5,270.485107421875
2008-01-01,40.4,-91.5,270.016357421875
2008-01-01,40.4,-91.25,270.164794921875
2008-01-01,40.4,-91.0,270.22998046875
2008-01-01,40.4,-90.75,270.244384765625
2008-01-01,40.4,-90.5,270.32958984375
2008-01-01,40.4,-90.25,270.455810546875
2008-01-01,40.4,-90.0,270.6015625
2008-01-01,40.4,-89.75,270.663330078125
2008-01-01,40.4,-89.5,270.638916015625
2008-01-01,40.4,-89.25,270.524169921875
2008-01-01,40.4,-89.0,270.475830078125
2008-01-01,40.4,-88.75,270.494873046875
2008-01-01,40.4,-88.5,270.562744140625
2008-01-01,40.4,-88.25,270.643798828125
2008-01-01,40.4,-88.0,270.753173828125
2008-01-01,40.4,-87.75,270.82373046875
2008-01-01,40.4,-87.5,270.823486328125
2008-01-01,40.15,-91.5,270.668701171875
2008-01-01,40.15,-91.25,270.754150390625
2008-01-01,40.15,-91.0,270.77294921875
2008-01-01,40.15,-90.75,270.804931640625
2008-01-01,40.15,-90.5,270.912841796875
2008-01-01,40.15,-90.25,270.992431640625
2008-01-01,40.15,-90.0,271.066650390625
2008-01-01,40.15,-89.75,271.130126953125
2008-01-01,40.15,-89.5,271.10302734375
2008-01-01,40.15,-89.25,270.990234375
2008-01-01,40.15,-89.0,270.890869140625
2008-01-01,40.15,-88.75,270.901123046875
2008-01-01,40.15,-88.5,270.970947265625
2008-01-01,40.15,-88.25,271.02734375
2008-01-01,40.15,-88.0,271.099609375
2008-01-01,40.15,-87.75,271.171142578125
2008-01-01,40.15,-87.5,271.215087890625
2008-01-01,39.9,-91.5,271.262939453125
2008-01-01,39.9,-91.25,271.24609375
2008-01-01,39.9,-91.0,271.219970703125
2008-01-01,39.9,-90.75,271.281982421875
2008-01-01,39.9,-90.5,271.38671875
2008-01-01,39.9,-90.25,271.416015625
2008-01-01,39.9,-90.0,271.374267578125
2008-01-01,39.9,-89.75,271.42919921875
2008-01-01,39.9,-89.5,271.43310546875
2008-01-01,39.9,-89.25,271.378173828125
2008-01-01,39.9,-89.0,271.271728515625
2008-01-01,39.9,-88.75,271.269775390625
2008-01-01,39.9,-88.5,271.31787109375
2008-01-01,39.9,-88.25,271.37060546875
2008-01-01,39.9,-88.0,271.412353515625
2008-01-01,39.9,-87.75,271.479248046875
2008-01-01,39.9,-87.5,271.53857421875
2008-01-01,39.65,-91.5,271.77099609375
2008-01-01,39.65,-91.25,271.760009765625
2008-01-01,39.65,-91.0,271.71240234375
2008-01-01,39.65,-90.75,271.737548828125
2008-01-01,39.65,-90.5,271.74560546875
2008-01-01,39.65,-90.25,271.711181640625
2008-01-01,39.65,-90.0,271.635986328125
2008-01-01,39.65,-89.75,271.705078125
2008-01-01,39.65,-89.5,271.720703125
2008-01-01,39.65,-89.25,271.692138671875
2008-01-01,39.65,-89.0,271.610107421875
2008-01-01,39.65,-88.75,271.592041015625
2008-01-01,39.65,-88.5,271.606689453125
2008-01-01,39.65,-88.25,271.642822265625
2008-01-01,39.65,-88.0,271.656494140625
2008-01-01,39.65,-87.75,271.723388671875
2008-01-01,39.65,-87.5,271.815673828125
2008-01-01,39.4,-91.5,272.18505859375
2008-01-01,39.4,-91.25,272.219482421875
2008-01-01,39.4,-91.0,272.188720703125
2008-01-01,39.4,-90.75,272.14404296875
2008-01-01,39.4,-90.5,272.11083984375
2008-01-01,39.4,-90.25,272.05859375
2008-01-01,39.4,-90.0,271.978759765625
2008-01-01,39.4,-89.75,271.989013671875
2008-01-01,39.4,-89.5,271.984619140625
2008-01-01,39.4,-89.25,271.963134765625
2008-01-01,39.4,-89.0,271.97412109375
2008-01-01,39.4,-88.75,271.942626953125
2008-01-01,39.4,-88.5,271.934814453125
2008-01-01,39.4,-88.25,271.947265625
2008-01-01,39.4,-88.0,271.957763671875
2008-01-01,39.4,-87.75,272.023681640625
2008-01-01,39.4,-87.5,272.13037109375
2008-01-01,39.15,-91.5,272.44677734375
2008-01-01,39.15,-91.25,272.54638671875
2008-01-01,39.15,-91.0,272.6015625
2008-01-01,39.15,-90.75,272.567138671875
2008-01-01,39.15,-90.5,272.534423828125
2008-01-01,39.15,-90.25,272.50390625
2008-01-01,39.15,-90.0,272.42724609375
2008-01-01,39.15,-89.75,272.369384765625
2008-01-01,39.15,-89.5,272.349853515625
2008-01-01,39.15,-89.25,272.358154296875
2008-01-01,39.15,-89.0,272.38037109375
2008-01-01,39.15,-88.75,272.398681640625
2008-01-01,39.15,-88.5,272.40576171875
2008-01-01,39.15,-88.25,272.38427734375
2008-01-01,39.15,-88.0,272.384765625
2008-01-01,39.15,-87.75,272.41796875
2008-01-01,39.15,-87.5,272.47021484375
2008-01-01,38.9,-91.5,272.80029296875
2008-01-01,38.9,-91.25,272.875
2008-01-01,38.9,-91.0,272.979736328125
2008-01-01,38.9,-90.75,272.991455078125
2008-01-01,38.9,-90.5,272.959228515625
2008-01-01,38.9,-90.25,272.963623046875
2008-01-01,38.9,-90.0,272.9609375
2008-01-01,38.9,-89.75,272.938232421875
2008-01-01,38.9,-89.5,272.900390625
2008-01-01,38.9,-89.25,272.887939453125
2008-01-01,38.9,-89.0,272.828125
2008-01-01,38.9,-88.75,272.906982421875
2008-01-01,38.9,-88.5,272.935546875
2008-01-01,38.9,-88.25,272.880126953125
2008-01-01,38.9,-88.0,272.859619140625
