time,latitude,longitude,temperature_K
2008-01-01,42.37,-93.1,263.5975341796875
2008-01-01,42.37,-92.85,263.64892578125
2008-01-01,42.37,-92.6,263.7462158203125
2008-01-01,42.37,-92.35,263.6824951171875
2008-01-01,42.37,-92.1,263.69384765625
2008-01-01,42.37,-91.85,263.772216796875
2008-01-01,42.37,-91.6,263.8790283203125
2008-01-01,42.37,-91.35,264.1357421875
2008-01-01,42.37,-91.1,264.4415283203125
2008-01-01,42.37,-90.85,264.975830078125
2008-01-01,42.37,-90.6,265.4390869140625
2008-01-01,42.37,-90.35,265.7581787109375
2008-01-01,42.12,-96.6,265.1466064453125
2008-01-01,42.12,-96.35,265.131103515625
2008-01-01,42.12,-96.1,265.023193359375
2008-01-01,42.12,-95.85,264.901123046875
2008-01-01,42.12,-95.6,264.829833984375
2008-01-01,42.12,-95.35,264.8497314453125
2008-01-01,42.12,-95.1,265.01025390625
2008-01-01,42.12,-94.85,265.163818359375
2008-01-01,42.12,-94.6,265.2281494140625
2008-01-01,42.12,-94.35,265.1448974609375
2008-01-01,42.12,-94.1,264.8687744140625
2008-01-01,42.12,-93.85,264.5340576171875
2008-01-01,42.12,-93.6,264.2408447265625
2008-01-01,42.12,-93.35,264.1007080078125
2008-01-01,42.12,-93.1,264.0584716796875
2008-01-01,42.12,-92.85,264.1346435546875
2008-01-01,42.12,-92.6,264.24853515625
2008-01-01,42.12,-92.35,264.34716796875
2008-01-01,42.12,-92.1,264.36376953125
2008-01-01,42.12,-91.85,264.443603515625
2008-01-01,42.12,-91.6,264.540771484375
2008-01-01,42.12,-91.35,264.6737060546875
2008-01-01,42.12,-91.1,264.9586181640625
2008-01-01,42.12,-90.85,265.3468017578125
2008-01-01,42.12,-90.6,265.8143310546875
2008-01-01,42.12,-90.35,266.161376953125
2008-01-01,41.87,-96.6,265.611328125
2008-01-01,41.87,-96.35,265.6068115234375
2008-01-01,41.87,-96.1,265.571044921875
2008-01-01,41.87,-95.85,265.45166015625
2008-01-01,41.87,-95.6,265.4041748046875
2008-01-01,41.87,-95.35,265.4112548828125
2008-01-01,41.87,-95.1,265.413330078125
2008-01-01,41.87,-94.85,265.5614013671875
2008-01-01,41.87,-94.6,265.662841796875
2008-01-01,41.87,-94.35,265.60302734375
2008-01-01,41.87,-94.1,265.48876953125
2008-01-01,41.87,-93.85,265.1580810546875
2008-01-01,41.87,-93.6,264.901611328125
2008-01-01,41.87,-93.35,264.7711181640625
